frequency,value
1,thui
1,thuir
1,thuj
1,thuweeuee
1,thuwowngr
1,thuwr
1,thuwrowr
1,thuyeets
1,thuyer
1,thuyrm
1,thuys
1,tichs
1,tieens
1,tieensg
1,tiestsgieest
1,tinhr
1,tkieengs
1,tnayf1
1,tnhieen
1,tnwuwa
1,toaj
1,toanf
1,toio
1,toms
1,tooi88
1,tooif
1,tooihooi
1,toois
1,tooitooi
1,tooitreen
1,toon
1,toong
1,toooi
1,toor
1,toots
1,toowis
1,tosau
1,towis
1,traanf
1,traanfm
1,traasn
1,traij
1,trang
1,trangs
1,trar
1,trari
1,trasch
1,trawnm
1,trchoonfg
1,trecon
1,treer
1,trer
1,trieern
1,troawvair
1,tron
1,trongj
1,tronjong
1,troong
1,trowif
1,trufng
1,trujc
1,trung
1,truoowr
1,truwowcs
1,truwwocs
1,truyeefn
1,tthanh
1,tthieen
1,tuaanf
1,tucj
1,tuij
1,tuj
1,tung
1,tuonwgs
1,tuooir49
1,tur
1,tus
1,tuw
1,tuwaj
1,tuwcs
1,tuwcwwnmwuwowng
1,tuwju
1,tuwowngf
1,tuy
1,tuyeejt
1,twcsuwcs
1,twngf
1,twr
1,twtwr
1,twuwaj
1,twuwf
1,tys
1,uar
1,ucuxng
1,uir
1,uoonsg
1,uowifuowuowfi
1,uquys
1,usuwosng
1,uw
1,uwar
1,uwcs
1,uwjtuwj
1,uwngf
1,uwowts
1,uy
1,uys
1,vaajy
1,vaatj
1,vaaxy
1,vachs
1,vafng
1,vai
1,vaif
1,vain
1,vair
1,vanf
1,vanfg
1,vay
1,veeowj
1,veest
1,vef
1,vejn
1,venj
1,ves
1,vetieenf
1,video
1,vieeaan
1,vieen
1,vieetj
1,vitrong
1,vlaox
1,vo
1,vocos
1,vojt
1,voojti
1,vowjx
1,vownf
1,vungf
1,vuown
1,vuwfa
1,vvafng
1,wowngf
1,xang
1,xawngx
1,xax
1,xayr
1,xeeps
1,xieen
1,xongalaox
1,xoo
1,xoons
1,xost
1,xuaast
1,xuf
1,xuoonsg
1,xutj
1,xuwa
1,xuwowng
1,xuwr
1,xuyene
1,xwauwa
1,yeeusnuis
